name,population
Jiangyou,127225
Xichang,126787
Danshui,126701
Macheng,126366
Huicheng,125919
Xiazhen,125667
Haimen,125427
Shahecheng,125132
Suining,124924
Yushu,124736
Lecheng,124268
Laiwu,124108
Jiupu,123843
Baoshan,123791
Luoyang,123144
Minzhu,123018
Huangzhou,122563
Xiulin,122411
Zhoucun,122402
Jiayuguan,122396
Lianhe,121367
Xilin Hot,120965
Fengcheng,120514
Zhaoyuan,120000
Lhasa,118721
Puning,118023
Shunyi,117623
Longjing,117185
Qingzhou,117056
Dasha,116307
Yakeshi,116284
Binzhou,115893
Lengshuijiang,115399
Tianfu,115370
Wenchang,115000
Mingshui,114858
Yuyao,114177
Hotan,114000
Pingshan,113631
Songyuan,113611
Maba,113609
Guangming,112819
Haikou,112644
Shaowu,112585
Kaiyuan,112462
Beibei,112019
Dongtai,110988
Encheng,110921
Zhuji,110721
Qingnian,110046
Mizhou,109968
Linshui,109955
Hailun,109881
Shilong,109733
Tieli,109636
Dongxing,109561
