iso3c,countryname,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75+,total
PHL,Philippines,10616342,11397952,10906801,10462894,10104334,9479780,8247197,7254730,6551963,5759264,5116997,4249923,3393186,2485685,1661429,1892608,109581085
POL,Poland,1884914,1899957,1974514,1734622,1965983,2465575,2825848,3179075,2958637,2576804,2238497,2324671,2725260,2448887,1855853,2787508,37846605
PRT,Portugal,400652,440424,489999,525167,539834,533864,560997,654312,765451,810460,743389,737618,672519,621305,566943,1133773,10196707
PRI,Puerto Rico,84291,156033,210323,184343,143483,145270,156591,174926,196071,203173,211742,202442,196316,164709,157590,273537,2860840
QAT,Qatar,135162,135374,122418,105982,237443,479928,495152,351028,254998,206802,155604,98557,53949,27847,12864,7952,2881060
KOR,Republic of Korea,1897011,2256802,2276782,2476476,3216244,3500050,3282425,3797414,3924934,4293910,4315516,4161183,3774566,2679140,1998091,3418639,51269183
MDA,Republic of Moldova,202520,221538,216870,202416,241118,329715,417989,355887,301677,261131,234464,286551,258125,230164,105415,168383,4033963
REU,R��union,64839,67553,67994,70868,63842,54430,49114,50337,57479,59847,65357,60058,49683,40874,27831,45202,895308
ROU,Romania,939606,965441,1080761,994545,1009877,1076387,1396156,1189744,1523497,1502971,1526148,1043010,1289960,1245988,927458,1526133,19237682
RUS,Russian Federation,9271691,9350916,8174262,7081775,6614696,8993089,12543831,11924724,10604635,9770682,8479651,10418015,10073623,8427746,5390381,8814743,145934460
RWA,Rwanda,1885105,1675918,1551766,1354029,1183561,1027482,978578,833976,609132,460962,354419,374028,259237,185917,109464,108635,12952209
LCA,Saint Lucia,10826,10986,11152,13183,15870,16946,14292,14155,12886,12631,12357,11018,8417,6138,4880,7892,183629
VCT,Saint Vincent and the Grenadines,7706,8241,8355,9073,9290,8212,7940,7771,7523,6961,6782,6808,5289,3887,2721,4388,110947
WSM,Samoa,26990,24133,22684,19314,16572,14723,11657,10355,9881,9679,8967,7503,5865,4095,2742,3250,198410
STP,Sao Tome and Principe,31754,30657,29106,25003,18677,14948,14083,12548,11052,7628,7361,5419,4332,2750,1744,2099,219161
SAU,Saudi Arabia,2978337,2977879,2641499,2218782,2333131,3021629,3437937,3542426,3577563,2831226,1891746,1324826,818937,554584,293041,370324,34813867
SEN,Senegal,2615341,2417240,2098919,1764783,1519042,1304492,1110693,940599,741966,589862,467265,367435,285866,219898,145623,154906,16743930
SRB,Serbia,419057,436763,486863,512868,529169,573297,617923,596961,621552,608342,570649,550859,547854,594617,464141,606455,8737370
SYC,Seychelles,7967,7966,7438,6428,6363,7068,7105,7381,7436,7437,6819,6158,4841,3068,1645,3220,98340
SLE,Sierra Leone,1158651,1067234,992319,874877,754021,651493,553893,463157,373119,299775,236393,182740,135799,98226,68339,66949,7976985
SGP,Singapore,258176,220861,240625,265169,397537,435521,434677,461938,473271,491602,466411,479811,443631,355694,190228,235191,5850343
SVK,Slovakia,283691,282900,282577,262918,290705,365080,410494,437109,457808,403592,346849,362368,361838,333373,236821,341520,5459643
SVN,Slovenia,101272,108899,104506,91870,96316,109178,133863,149786,158373,146953,151312,149890,145593,139348,97508,194265,2078932
SLB,Solomon Islands,103156,93014,78791,70034,60995,50835,42609,39441,37090,31580,22806,17889,13425,9553,7157,8503,686878
SOM,Somalia,2826505,2388859,2119343,1818247,1534275,1159601,868582,665822,561005,492889,407292,326680,262875,199915,134577,126752,15893219
ZAF,South Africa,5764945,5820660,5495963,4913211,4924091,5217398,5374110,4781215,3810040,3233235,2692132,2219400,1794715,1369726,895217,1002632,59308690
SSD,South Sudan,1707392,1538290,1380431,1201470,1062165,900787,744174,589979,491926,404911,332202,263323,201377,143560,112230,119512,11193729
ESP,Spain,1990096,2244391,2497954,2238123,2255909,2361690,2618972,3283021,4000876,3937623,3632242,3414085,2939311,2401343,2204150,4734997,46754783
LKA,Sri Lanka,1660410,1689625,1721661,1664559,1495651,1406206,1352386,1467635,1524435,1356670,1317276,1237542,1113872,899324,727431,778567,21413250
PSE,State of Palestine,692913,671615,592433,517060,498642,467083,369818,294478,247141,200999,166831,130487,87852,64001,48340,51723,5101416
SDN,Sudan,6339078,5789728,5322924,4800733,4159388,3467770,2799335,2403910,2026888,1700431,1424556,1128395,875056,660904,455130,495043,43849269
SUR,Suriname,52186,52645,51594,50637,48736,47036,42969,39817,35203,37521,32863,31965,21601,15327,11343,15191,586634
